Pop,UniqueID,OrigID,PlantingDate,PlantToFlower,DaysToGerm,GermToFlwr,NumVernalz,DaysVernalized,PetLen,PetWid,Tube,ShrtFil,LongFil,Pistil,ShrtAnther,LongAnther,Ovules,1stFlwrHgt_cm,LeafNum,FlwrPos,SeedWt_g
AUFI,996,1,6/10/03,26,4,22,0,0,7.2098,5.4979,11.9285,6.4615,10.9511,15.8394,3.0814,2.2463,7,20.5,3,5,0.0059
AUFI,997,2,6/10/03,27,5,22,0,0,9.9572,5.3603,11.3947,9.7888,12.2973,14.7106,1.7319,1.9576,8,21.7,2,3,0.0105
AUFI,998,5,6/10/03,26,3,23,0,0,9.9327,7.7338,9.8111,7.7967,9.8502,12.4357,1.6818,2.079,8,29,3,4,0.0095
AUFI,999,6,6/10/03,26,4,22,0,0,9.6991,5.5748,10.171,8.7589,11.9098,14.257,1.1686,1.898,10,32.3,3,4,0.0064
AUFI,1000,7,6/10/03,30,6,24,0,0,6.8416,4.6037,10.1059,7.3047,11.0786,12.4709,2.7549,2.3922,9,21.2,4,3,0.0056
AUFI,1001,8,6/10/03,26,3,23,0,0,8.9564,6.6993,11.6065,9.3169,12.3802,15.5509,2.2167,2.1658,6,31,3,3,0.0105
AUFI,1002,10,6/10/03,23,3,20,0,0,10.9067,8.1386,9.3795,7.7232,9.8793,15.962,1.4364,1.885,6,17.8,3,9,0.008
AUFI,1003,11,6/10/03,26,3,23,0,0,9.4574,5.6264,12.5978,8.8234,11.9443,15.3858,1.4283,1.9763,7,25,4,5,0.0072
AUFI,1004,12,6/10/03,29,3,26,0,0,8.3362,6.0677,12.3615,10.4229,12.6278,15.2017,2.0635,2.2032,7,34.6,3,5,0.0051
AUFI,1005,13,6/10/03,26,3,23,0,0,9.4273,6.8046,9.1174,8.257,10.3436,15.3847,1.9274,1.8374,6,27.6,3,7,0.0064
AUFI,1006,14,6/10/03,26,3,23,0,0,8.058,5.5844,11.5702,9.704,11.9354,18.4878,2.019,2.6524,9,28,3,3,0.0046
AUFI,1007,15,6/10/03,26,5,21,0,0,8.7308,6.324,9.9939,8.2865,11.0928,14.8083,1.7031,1.9882,8,30.2,4,5,0.0039
AUFI,1008,17,6/10/03,26,3,23,0,0,7.4788,6.2181,9.7208,7.4454,9.5576,14.1479,1.0333,1.1643,6,32.3,4,4,0.0051
AUFI,1009,19,6/10/03,26,4,22,0,0,8.6278,5.9311,10.0538,9.1992,11.5751,12.7189,1.3438,1.0293,7,22.1,3,3,0.0067
AUFI,1010,20,6/10/03,27,3,24,0,0,7.8201,6.5545,11.448,9.5062,11.8082,12.6925,2.3601,2.1338,8,16.3,4,4,0.0042
AUFI,1011,22,6/10/03,29,5,24,0,0,8.4923,7.4722,10.2674,8.187,9.6294,12.7706,2.1695,2.5331,8,39.6,2,3,0.0057
AUFI,1012,23,6/10/03,26,4,22,0,0,8.4145,6.4072,10.3951,8.3323,10.132,15.7427,1.4456,1.2531,8,39.7,2,7,0.0054
AUFI,1013,24,6/10/03,23,4,19,0,0,8.8392,7.0365,11.9162,10.058,12.4761,14.4986,1.3739,1.8066,6,34.7,3,.,0.0043
AUFI,1014,26,6/10/03,23,4,19,0,0,8.1931,5.5027,10.5511,8.4328,11.2539,15.502,0.7106,0.8515,9,22,3,7,0.0063
AUFI,1015,27,6/10/03,27,6,21,0,0,8.126,6.6179,10.5251,8.541,10.5819,12.5992,2.8991,2.7724,6,36.3,3,5,0.004
AUFI,1016,29,6/10/03,31,3,28,0,0,5.4717,5.7347,11.7712,8.6371,10.6199,13.5515,2.7042,2.2006,9,31.2,5,35,0.0019
