Pop,ID,sire,dam,OrigSireID,OrigDamID,sib,block_9,blockNum,FlwrPos,PetLen,PetWid,Tube,ShrtFil,LongFil,Pistil,ovules,plantingDate,germTime,germ2flwr,plant2Flwr,NumVernal,DaysVernal,1stFlwrHgt_cm,LeafNum,Measurer
AUFI,407,1009,1010,19,20,a,8,123,9,9.14,7.27,12.4525,10.5012,13.049,11.5052,6,8-Jul-04,4,18,22,0,0,21.9,3,Steve
AUFI,408,1009,1010,19,20,b,6,91,9,8.32,5.29,10.671,10.1577,12.2094,12.1802,8,8-Jul-04,4,18,22,0,0,23.5,.,Steve
AUFI,471,1026,1027,39,40,c,4,63,5,8.57,7.87,12.9786,10.4888,13.6567,14.162,8,8-Jul-04,4,18,22,0,0,27,.,Steve
AUFI,406,1008,1009,17,19,d,4,60,7,7,6.88,11.2215,9.6652,11.8349,10.2965,5,8-Jul-04,4,19,23,0,0,22.3,.,Steve
AUFI,465,1025,1026,38,39,a,6,104,4,6.58,5.61,9.1583,7.4971,9.7125,10.4548,8,8-Jul-04,4,19,23,0,0,13.5,2,Steve
AUFI,472,1026,1027,39,40,d,4,59,6,7.43,6.07,11.8081,9.5864,12.2076,10.9136,6,8-Jul-04,4,19,23,0,0,29,.,Steve
AUFI,422,1013,1014,24,26,a,5,113,5,9.75,6.75,11.2114,8.733,10.7764,11.4566,6,8-Jul-04,4,19,23,0,0,17,2,Steve
AUFI,425,1013,1014,24,26,d,5,97,5,7.87,5.79,10.2919,8.7158,10.76,11.6433,7,8-Jul-04,4,19,23,0,0,26.7,2,Steve
AUFI,423,1013,1014,24,26,b,8,136,4,8.58,6.35,10.7873,9.1085,11.5898,12.3784,6,8-Jul-04,4,19,23,0,0,15,2,Steve
AUFI,461,1024,1025,37,38,a,6,99,6,7.7,5.55,11.3397,8.6937,11.0108,13.8732,6,8-Jul-04,4,19,23,0,0,31.5,2,Steve
AUFI,432,1016,1017,29,30,c,1,9,5,9.87,8.17,13.9946,11.2711,14.1344,14.1622,6,8-Jul-04,4,19,23,0,0,18.5,2,Steve
AUFI,434,1017,1018,30,31,a,1,18,5,11,8.12,11.7881,10.0272,13.4396,14.6058,7,8-Jul-04,4,19,23,0,0,28,3,Steve
AUFI,405,1008,1009,17,19,c,4,76,5,9.17,5.17,10.5303,9.3157,11.4883,10.1294,5,8-Jul-04,4,20,24,0,0,25.5,.,Steve
AUFI,424,1013,1014,24,26,c,7,117,3,8.04,5.55,9.8394,8.4544,10.3635,11.3918,8,8-Jul-04,4,20,24,0,0,23,2,Steve
AUFI,419,1012,1013,23,24,b,1,30,5,9.62,6.64,10.1137,7.6096,10.7473,11.5048,7,8-Jul-04,4,20,24,0,0,21,3,Steve
AUFI,483,1029,1030,43,44,c,3,74,3,7.07,5.69,9.9671,8.9915,10.886,11.932,9,8-Jul-04,4,20,24,0,0,18.2,3,Steve
AUFI,480,1028,1029,42,43,d,4,71,4,10.14,8.56,11.469,9.6775,12.7949,12.1395,7,8-Jul-04,4,20,24,0,0,25.7,.,Steve
AUFI,466,1025,1026,38,39,b,7,142,4,7.96,7.95,12.4545,9.1244,12.6732,12.2468,7,8-Jul-04,4,20,24,0,0,30.6,2,Steve
AUFI,490,1032,1033,47,49,b,7,121,4,8.46,7.37,10.714,8.5522,10.9015,12.2604,6,8-Jul-04,4,20,24,0,0,23.4,2,Steve
AUFI,473,1027,1031,40,46,a,8,135,4,9.14,6.95,11.0849,8.437,11.2305,12.2821,9,8-Jul-04,4,20,24,0,0,23.8,3,Steve
