Pop,Individual,FlwrTime,Hgt1stFlwr_mm,NumVernaliz,DaysVernal,flowerDate,PlantingDate,OldPopCode,FileIDtop,FileIDside,CrownLeafNum,StemLeafNum,Bolted,CrownHeight
AFFR,11,57,.,0,0,11/10/06,9/14/06,R4,.,.,.,.,.,.
AFFR,12,28,.,0,0,7/19/06,6/21/06,R4,.,.,.,.,.,.
AFFR,13,28,.,0,0,7/19/06,6/21/06,R4,.,.,.,.,.,.
AFFR,14,36,.,0,0,7/27/06,6/21/06,R4,.,.,.,.,.,.
AFFR,15,26,.,0,0,7/17/06,6/21/06,R4,.,.,.,.,.,.
AFFR,16,35,.,0,0,7/26/06,6/21/06,R4,.,.,.,.,.,.
AFFR,17,26,.,0,0,7/17/06,6/21/06,R4,.,.,.,.,.,.
AFFR,18,32,.,0,0,7/23/06,6/21/06,R4,.,.,.,.,.,.
AFFR,19,42,.,0,0,8/2/06,6/21/06,R4,.,.,.,.,.,.
AFFR,20,35,.,0,0,7/26/06,6/21/06,R4,.,.,.,.,.,.
AFFR,21,48,.,0,0,11/1/06,9/14/06,R4,.,.,.,.,.,.
AFFR,22,32,.,0,0,7/23/06,6/21/06,R4,.,.,.,.,.,.
AFFR,23,26,.,0,0,7/17/06,6/21/06,R4,.,.,.,.,.,.
AFFR,24,28,.,0,0,7/19/06,6/21/06,R4,.,.,.,.,.,.
AFFR,25,28,.,0,0,7/19/06,6/21/06,R4,.,.,.,.,.,.
AFFR,26,24,.,0,0,7/15/06,6/21/06,R4,.,.,.,.,.,.
AFFR,27,32,.,0,0,7/23/06,6/21/06,R4,.,.,.,.,.,.
AFFR,28,40,.,0,0,7/31/06,6/21/06,R4,.,.,.,.,.,.
AFFR,29,23,.,0,0,7/14/06,6/21/06,R4,.,.,.,.,.,.
AFFR,30,26,.,0,0,7/17/06,6/21/06,R4,.,.,.,.,.,.
BBCA,?PP2,55,.,0,0,10/3/06,8/9/06,CA,.,.,.,.,.,.
BBCA,WGG26,49,.,0,0,9/27/06,8/9/06,CA,.,.,.,.,.,.
BBCA,WGG3,45,.,0,0,9/23/06,8/9/06,CA,.,.,.,.,.,.
BBCA,WPG10,32,.,0,0,7/23/06,6/21/06,CA,.,.,.,.,.,.
BBCA,WPG11,49,.,0,0,9/27/06,8/9/06,CA,.,.,.,.,.,.
