Row,Column,Code,Planting_Code,germ_group,subpop,group,Planting_Date,Germ_Date,Died_By,Died_before_bolting,Died_before_flowering,Bolt_before_7_26,Bolt_before_Winter,Dead_7_1_12,Bolted_Date,second_bolt,Flowering_Date,Height_1st_Flower_cm,Date_Blossom_Collected,Days_Germ_to_Bolt,Died_from_winter,Days_Germ_to_Flow,Days_Bolt_Flower,Survive_winter,6_28_Leaf_Number_Josh,No_data_6_28,7_26_Leaf_Number_Josh,No_data_7_26,6_28_Rosette_Leaf_Scale,6_28_L1L,6_28_L1W,6_28_L2L,6_28_L2W,6_28_L3L,6_28_L3W,7_26_Rosette_Leaf_Scale,7_26_L1L,7_26_L1W,7_26_L2L,7_26_L2W,7_26_L3L,7_26_L3W,Alive_1_5_13,Alive_4_17_13,Alive_5_3_13,Alive_5_13_13,Alive_5_28_13,Tissue_Sample,SpringAliveDate
1,E,RA475,RA475,1,unknown,unknown,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,54.82,6.562,3.428,,,,,0,0,0,0,0,0,
3,E,RA494,RA494,1,unknown,unknown,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,28.289,3.747,5.466,,,,,0,0,0,0,0,0,
4,E,BINYxMAES,BINYxMAES_1,1,cross,cross,5/25/12,6/1/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,29.201,5.697,2.749,,,,,0,0,0,0,0,0,
5,D,RA837,RA837,1,unknown,unknown,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,29.064,1,,,,,,0,0,0,0,0,0,
7,B,RA503,RA503,1,unknown,unknown,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,45.094,,,,,,,0,0,0,0,0,0,
8,C,NELO,NELO,1,daikon,crop,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,32.178,,,,,,,0,0,0,0,0,0,
18,E,RA173,RA173,1,unknown,unknown,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,41.504,4.466,4,,,,,0,0,0,0,0,0,
26,C,RA475,RA475,1,unknown,unknown,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,39,,,,,,,0,0,0,0,0,0,
27,E,RA265,RA265,1,unknown,unknown,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,44.761,2.664,2,,,,,0,0,0,0,0,0,
30,A,RA265,RA265,1,unknown,unknown,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,27.335,,,,,,,0,0,0,0,0,0,
30,E,SAESxMAES,SAESxMAES_1,1,cross,cross,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,53.702,4.078,2.664,,,,,0,0,0,0,0,0,
31,E,WMBG,WMBG,1,europe,crop,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,53.653,4.283,3.488,,,,,0,0,0,0,0,0,
36,E,AFFRxMAES,AFFRxMAES_3,3,cross,cross,5/25/12,6/1/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,42.304,4.781,2.693,,,,,0,0,0,0,0,0,
40,D,NZIL,NZIL_redos,1,confusus,native,5/25/12,5/30/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,38,,,,,,,0,0,0,0,0,0,
44,B,RA503,RA503,1,unknown,unknown,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,51.812,,,,,,,0,0,0,0,0,0,
55,A,AFFRxMAES,AFFRxMAES_1,1,cross,cross,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,19.325,,,,,,,0,0,0,0,0,0,
76,D,BINYxMAES,BINYxMAES_6,6,cross,cross,5/25/12,6/1/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,48.128,,,,,,,0,0,0,0,0,0,
79,A,AL,AL,1,weed,weed,5/25/12,6/1/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,38.727,,,,,,,0,0,0,0,0,0,
83,A,AFFRxMAES,AFFRxMAES_3,3,cross,cross,5/25/12,6/4/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,31.236,,,,,,,0,0,0,0,0,0,
87,D,AFFRxMAES,AFFRxMAES_2,2,cross,cross,5/25/12,6/1/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,44.236,,,,,,,0,0,0,0,0,0,
