NS_Row,WE_Row,Name,subpop,group,Bolt_Photo_num,Plant_Date,Germ_Date,Bolt_Date,Flower_Date,Height_1st_Flower_cm,Blossom_Collected,Seed_Set,Died,Notes,,,
1,1,RABG,crop,crop,"418, 419",5/29/13,6/4/13,7/4/13,7/10/13,40.5,7/11/13,7/18/13,,,,,
1,3,WMBG,crop,crop,,5/29/13,6/7/13,,,,,,,,,,
1,5,GMIL,rostratus,native,"564, 565",5/29/13,6/9/13,7/22/13,7/24/13,18,8/14/13,8/20/13,,Dying 9/9,,,
1,8,M3AU,weed,weed,,5/29/13,,,,,,,,,,,
1,10,LBBC,crop,crop,,5/29/13,6/2/13,,,,,,7/22/13,Dying 7/15 Replaced Fall,,,
1,13,MAES,maes,native,"663,664",5/29/13,6/11/13,8/5/13,8/9/13,8.5,8/14/13,8/20/13,,Taken to KBS 10/11,,,
1,14,NELO,crop,crop,,5/29/13,6/2/13,,,,,,10/4/13,Dying 9/20,,,
1,17,CBBG,crop,crop,"974,975",5/29/13,6/11/13,8/13/13,8/20/13,54.5,8/23/13,8/27/13,,,,,
2,1,GMIL,rostratus,native,"557, 559",5/29/13,6/1/13,7/18/13,7/22/13,12,7/25/13,8/9/13,9/20/13,Dying 9/9,,,
2,2,LBBC,crop,crop,"1045, 1046",5/29/13,6/6/13,8/20/13,8/30/13,106,9/20/13,9/9/13,,,,,
2,10,RABS,crop,crop,"1047, 1048",5/29/13,6/10/13,8/20/13,8/27/13,75,9/20/13,9/9/13,,,,,
2,11,TOBG,crop,crop,,5/29/13,6/9/13,,,,,,,,,,
2,12,BINY,weed,weed,,5/29/13,,,,,,,,,,,
2,14,LBBC,crop,crop,"1102, 1103",5/29/13,6/14/13,8/27/13,9/9/13,42,9/20/13,9/20/13,,,,,
2,16,MBBC,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
2,17,NTJO,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
3,1,PABS,crop,crop,,5/29/13,6/5/13,,,,,,,,,,
3,4,BINY,weed,weed,"450, 451",5/29/13,6/19/13,7/7/13,7/10/13,15.5,7/25/13,8/5/13,,,,,
3,6,CBES,lanmar,native,,5/29/13,6/9/13,,,,,,,,,,
3,8,FRSI,crop,crop,"976,977",5/29/13,6/2/13,8/13/13,8/22/13,67,8/23/13,9/3/13,,,,,
3,9,RABS,crop,crop,"1049, 1050",5/29/13,6/4/13,8/20/13,8/27/13,62,9/20/13,9/9/13,,,,,
3,13,FGBC,crop,crop,"1104, 1105",5/29/13,6/15/13,8/27/13,9/3/13,46,9/20/13,9/16/13,,,,,
3,15,AFFR,weed,weed,"114, 115",5/29/13,6/6/13,7/1/13,7/7/13,28.5,7/11/13,7/18/13,,,,,
3,16,RACA,crop,crop,"117,118, 119",5/29/13,6/3/13,7/1/13,7/9/13,50,7/16/13,7/18/13,,,,,
3,17,FGBC,crop,crop,"978,979",5/29/13,6/1/13,8/13/13,8/20/13,58.5,9/20/13,8/22/13,,,,,
4,3,SPNK,crop,crop,"420, 421",5/29/13,6/5/13,6/28/13,7/5/13,37,7/5/13,7/15/13,,,,,
4,7,MYJO,crop,crop,"1707, 1708",5/29/13,6/2/13,10/1/13,10/7/13,88.5,10/7/13,10/14/13,,,,,
4,10,MBBC,crop,crop,,5/29/13,6/8/13,,,,,,,,,,
4,11,FRSI,crop,crop,,5/29/13,6/6/13,,,,,,,,,,
4,13,CBES,lanmar,native,,5/29/13,,,,,,,,,,,
4,14,MAES,maes,native,,5/29/13,6/9/13,,,,,,8/14/13,Dying 8/13,,,
4,15,RABS,crop,crop,,5/29/13,6/2/13,,,,,,9/3/13,Dying 8/27,,,
4,17,TOBG,crop,crop,,5/29/13,6/2/13,,,,,,,"Removed from Ground 8/13, Replaced Fall",,,
5,3,CBES,lanmar,native,,5/29/13,,,,,,,,,,,
5,4,RABG,crop,crop,"541, 542",5/29/13,6/2/13,7/16/13,7/19/13,38.5,7/25/13,7/29/13,,,,,
5,5,RBBC,crop,crop,,5/29/13,6/6/13,,,,,,7/24/13,Replaced Fall,,,
5,6,GMIL,rostratus,native,"422, 423",5/29/13,6/9/13,7/4/13,7/10/13,4.5,7/11/13,7/29/13,,Dying 7/22,,,
5,7,SPNK,crop,crop,"424, 425",5/29/13,6/5/13,7/4/13,7/10/13,23,7/11/13,7/16/13,7/29/13,Replaced Fall,,,
5,10,CGBC,crop,crop,"566, 567",5/29/13,6/1/13,7/22/13,7/26/13,45,8/14/13,8/14/13,,,,,
5,14,LBBC,crop,crop,"1114, 1115",5/29/13,6/2/13,9/9/13,,,,,,,,,
5,15,CBBG,crop,crop,"980,981",5/29/13,6/8/13,8/13/13,8/20/13,58,8/23/13,9/2/13,9/20/13,,,,
5,17,MAES,maes,native,"11,061,107",5/29/13,6/11/13,9/3/13,9/5/13,20,,9/23/13,,Taken to KBS 10/11,,,
6,2,CBBG,crop,crop,"470, 471",5/29/13,6/3/13,7/10/13,7/16/13,51.5,7/16/13,7/22/13,9/20/13,,,,
6,3,RABG,crop,crop,"99,100",5/29/13,6/3/13,6/30/13,7/5/13,21.2,7/11/13,7/15/13,,,,,
6,5,LBBC,crop,crop,"982,983",5/29/13,6/6/13,8/13/13,8/20/13,42,,8/27/13,,,,,
6,6,CGBC,crop,crop,"984,985",5/29/13,6/4/13,8/13/13,8/20/13,39,8/23/13,8/28/13,,,,,
6,7,AFFR,weed,weed,"120, 121",5/29/13,6/14/13,7/1/13,,,,,7/7/13,Replaced Fall,,,
6,9,RABS,crop,crop,"1108, 1109",5/29/13,6/4/13,9/3/13,10/18/13,70,10/23/13,,,,,,
6,12,WMBG,crop,crop,"986,987",5/29/13,6/7/13,8/13/13,8/22/13,56,9/20/13,9/3/13,,,,,
6,13,CBES,lanmar,native,"522, 524",5/29/13,7/1/13,7/15/13,7/18/13,,,,7/20/13,Replaced Fall,,,
6,14,SPNK,crop,crop,"599, 600",5/29/13,6/8/13,7/26/13,8/20/13,70,7/25/13,8/27/13,,,,,
6,15,NTJO,crop,crop,,5/29/13,6/4/13,,,,,,,,,,
6,16,SPNK,crop,crop,192,5/29/13,6/4/13,7/15/13,7/18/13,70,7/25/13,7/29/13,,,,,
7,1,MABG,crop,crop,"129,130",5/29/13,6/4/13,7/3/13,7/8/13,28.5,7/11/13,7/16/13,,,,,
7,5,FRSI,crop,crop,,5/29/13,6/9/13,,,,,,9/20/13,Dying 9/9,,,
7,6,RBBC,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
7,7,ESNK,crop,crop,"91, 101, 102",5/29/13,6/4/13,6/28/13,7/4/13,43,7/11/13,7/14/13,,,,,
