Cultivar,FlwrTime,1stFlwrHt_mm,planted,Pot,Germ,crownTop,crownSide,NumLeaves,crownHeight,1stFlwrHt_cm,FlowerDate,FlowerPics,BlosNum,TissueColl
ADOL,.,0,1/7/13,1,1/14/13,never bolted - tossed 12/2/13,,,,,,,,5/31/13
ADOL,74,438,1/7/13,2,1/15/13,3/13/13,3/13/13,17,29.4,43.8,3/22/13,3/25/13,6,3/25/13
ADOL,75,345,1/7/13,3,1/14/13,3/13/13,3/13/13,15,25.8,34.5,3/23/13,3/25/13,4,3/25/13
ADOL,93,142,1/7/13,4,1/16/13,3/25/13,3/25/13,17,27.4,14.2,4/10/13,4/12/13,4,4/12/13
ADOL,86,321,1/7/13,5,1/14/13,3/25/13,3/25/13,19,27.8,32.1,4/3/13,4/5/13,3,4/5/13
ADOL,66,570,1/7/13,6,1/14/13,3/4/13,3/4/13,13,28.6,57,3/14/13,3/15/13,3,3/15/13
ADOL,140,306,1/7/13,7,1/14/13,5/20/13,5/20/13,20,14.2,30.6,5/27/13,5/28/13,3,5/31/13
ADOL,73,332,1/7/13,8,1/14/13,3/11/13,3/11/13,15,30.7,33.2,3/21/13,3/22/13,3,3/22/13
ADOL,64,330,1/7/13,9,1/15/13,3/4/13,3/4/13,15,31,33,3/12/13,3/15/13,6,3/15/13
ADOL,68,277,1/7/13,10,1/15/13,3/8/13,3/8/13,14,33.1,27.7,3/16/13,3/18/13,5,3/18/13
AROL,58,434,1/7/13,1,1/21/13,2/25/13,2/25/13,13,17.6,43.4,3/6/13,3/8/13,5,3/8/13
AROL,56,445,1/7/13,2,1/21/13,2/25/13,2/25/13,8,18.6,44.5,3/4/13,3/6/13,3,3/6/13
AROL,50,636,1/7/13,3,1/20/13,2/17/13,2/17/13,8,16.1,63.6,2/26/13,2/27/13,3,2/27/13
AROL,76,575,1/7/13,4,1/20/13,3/11/13,3/11/13,11,36,57.5,3/24/13,3/25/13,3,3/25/13
AROL,61,688,1/7/13,5,1/16/13,3/1/13,3/1/13,8,26.8,68.8,3/9/13,3/11/13,6,3/11/13
AROL,61,568,1/7/13,6,1/14/13,2/22/13,2/22/13,11,17.5,56.8,3/9/13,3/11/13,5,3/11/13
AROL,68,765,1/7/13,7,1/18/13,3/4/13,3/4/13,7,24.8,76.5,3/16/13,3/18/13,5,3/18/13
AROL,51,535,1/7/13,8,1/18/13,2/15/13,2/15/13,5,11.4,53.5,2/27/13,3/1/13,3,3/1/13
AROL,47,560,1/7/13,9,1/14/13,2/10/13,2/15/13,6,14.1,56,2/23/13,2/25/13,4,2/25/13
AROL,67,433,1/7/13,10,2/4/13,3/6/13,3/6/13,9,11.6,43.3,3/15/13,3/18/13,6,3/18/13
CBBG,102,443,1/7/13,1,1/11/13,4/1/13,4/1/13,18,13.1,44.3,4/19/13,4/22/13,7,4/22/13
CBBG,98,500,1/7/13,2,1/11/13,4/5/13,4/5/13,18,20.4,50,4/15/13,4/17/13,5,4/19/13
CBBG,83,453,1/7/13,3,1/11/13,3/18/13,3/18/13,18,14.4,45.3,3/31/13,4/1/13,3,4/1/13
CBBG,100,771,1/7/13,4,1/11/13,4/5/13,4/5/13,19,19,77.1,4/17/13,4/19/13,3,4/19/13
CBBG,123,724,1/7/13,5,1/11/13,4/30/13,4/30/13,20,25.9,72.4,5/10/13,5/13/13,8,5/13/13
CBBG,107,540,1/7/13,6,1/11/13,4/5/13,4/5/13,20,19.2,54,4/24/13,4/26/13,3,4/26/13
CBBG,70,626,1/7/13,7,1/11/13,3/4/13,3/4/13,12,27.7,62.6,3/18/13,3/20/13,3,3/20/13
CBBG,91,633,1/7/13,8,1/11/13,3/25/13,3/25/13,15,23.1,63.3,4/8/13,4/12/13,7,4/12/13
CBBG,84,732,1/7/13,9,1/11/13,3/18/13,3/18/13,15,19.1,73.2,4/1/13,4/3/13,3,4/3/13
CBBG,116,132,1/7/13,10,1/11/13,4/30/13,4/30/13,22,10.1,13.2,5/3/13,5/6/13,7,5/6/13
COOL,49,587,1/7/13,1,1/14/13,2/13/13,2/15/13,7,12.2,58.7,2/25/13,2/26/13,3,2/26/13
COOL,60,688,1/7/13,2,1/18/13,2/26/13,2/26/13,10,24.5,68.8,3/8/13,3/11/13,4,3/11/13
COOL,61,765,1/7/13,3,1/18/13,2/25/13,2/25/13,10,34.2,76.5,3/9/13,3/11/13,3,3/11/13
COOL,51,689,1/7/13,4,1/17/13,2/18/13,2/18/13,10,26.5,68.9,2/27/13,3/1/13,3,3/1/13
COOL,46,702,1/7/13,5,1/14/13,2/10/13,2/12/13,7,15.9,70.2,2/22/13,2/25/13,7,2/25/13
COOL,61,708,1/7/13,6,1/18/13,2/26/13,2/26/13,11,21.9,70.8,3/9/13,3/11/13,4,3/11/13
COOL,60,411,1/7/13,7,1/14/13,3/1/13,3/1/13,15,20.1,41.1,3/8/13,3/11/13,6,3/11/13
COOL,49,523,1/7/13,8,1/13/13,2/10/13,2/12/13,7,15.6,52.3,2/25/13,2/26/13,3,2/26/13
COOL,62,590,1/7/13,9,1/18/13,2/26/13,2/26/13,11,27.5,59,3/10/13,3/11/13,3,3/11/13
COOL,85,237,1/7/13,10,1/16/13,3/22/13,3/22/13,14,26.9,23.7,4/2/13,4/3/13,3,4/3/13
DAJO,146,703,1/7/13,1,1/11/13,5/20/13,5/20/13,41,30.2,70.3,6/2/13,6/3/13,3,5/31/13
DAJO,121,413,1/7/13,2,1/11/13,4/30/13,4/30/13,21,19.8,41.3,5/8/13,5/10/13,7,5/10/13
DAJO,103,317,1/7/13,3,1/11/13,4/12/13,4/12/13,20,16.2,31.7,4/20/13,4/22/13,3,4/22/13
DAJO,106,634,1/7/13,4,1/11/13,4/5/13,4/5/13,19,22.2,63.4,4/23/13,4/24/13,3,4/26/13
DAJO,121,252,1/7/13,5,1/11/13,4/30/13,4/30/13,18,11.3,25.2,5/8/13,5/10/13,5,5/10/13
DAJO,95,235,1/7/13,6,1/11/13,4/5/13,4/5/13,19,10.4,23.5,4/12/13,4/15/13,7,4/15/13
DAJO,129,498,1/7/13,7,1/11/13,5/6/13,5/6/13,26,19.7,49.8,5/16/13,5/17/13,3,5/17/13
DAJO,114,180,1/7/13,8,1/11/13,4/19/13,4/19/13,17,12,18,5/1/13,5/3/13,6,5/3/13
DAJO,110,452,1/7/13,9,1/11/13,4/19/13,4/19/13,21,11.6,45.2,4/27/13,4/30/13,6,4/30/13
DAJO,93,424,1/7/13,10,1/11/13,4/1/13,4/1/13,18,22.5,42.4,4/10/13,4/12/13,3,4/12/13
ESNK,85,650,1/7/13,1,1/11/13,3/15/13,3/15/13,21,18.3,65,4/2/13,4/3/13,3,4/3/13
ESNK,95,521,1/7/13,2,1/11/13,4/1/13,4/1/13,20,18.7,52.1,4/12/13,4/15/13,4,4/15/13
ESNK,77,477,1/7/13,3,1/14/13,3/13/13,3/13/13,17,19.4,47.7,3/25/13,3/27/13,4,3/27/13
ESNK,87,522,1/7/13,4,1/11/13,3/25/13,3/25/13,19,19.8,52.2,4/4/13,4/5/13,3,4/5/13
ESNK,87,878,1/7/13,5,1/11/13,3/25/13,3/25/13,20,26.4,87.8,4/4/13,4/5/13,3,4/5/13
ESNK,86,575,1/7/13,6,1/11/13,3/18/13,3/18/13,15,17.3,57.5,4/3/13,4/5/13,3,4/5/13
ESNK,95,455,1/7/13,7,1/14/13,4/1/13,4/1/13,20,15.4,45.5,4/12/13,4/15/13,4,4/15/13
ESNK,96,408,1/7/13,8,1/11/13,4/5/13,4/5/13,19,17.6,40.8,4/13/13,4/15/13,3,4/15/13
ESNK,88,500,1/7/13,9,1/11/13,3/25/13,3/25/13,16,15.7,50,4/5/13,4/8/13,7,4/8/13
ESNK,73,514,1/7/13,10,1/11/13,3/6/13,3/6/13,17,19.8,51.4,3/21/13,3/22/13,3,3/25/13
MABG,52,840,1/7/13,1,1/11/13,2/12/13,2/12/13,7,21.7,84,2/28/13,3/1/13,3,3/1/13
MABG,51,748,1/7/13,2,1/11/13,2/12/13,2/12/13,8,21.2,74.8,2/27/13,3/1/13,3,3/1/13
MABG,49,485,1/7/13,3,1/11/13,2/12/13,2/12/13,7,19.4,48.5,2/25/13,2/26/13,3,2/26/13
MABG,45,624,1/7/13,4,1/11/13,2/6/13,2/12/13,7,21.6,62.4,2/21/13,2/22/13,3,2/22/13
MABG,37,675,1/7/13,5,1/11/13,2/5/13,2/13/13,6,23.5,67.5,2/13/13,2/15/13,3,2/18/13
MABG,48,661,1/7/13,6,1/11/13,2/12/13,2/12/13,7,17.4,66.1,2/24/13,2/25/13,3,2/25/13
MABG,42,504,1/7/13,7,1/11/13,2/6/13,2/12/13,5,20.4,50.4,2/18/13,2/20/13,4,2/20/13
MABG,45,873,1/7/13,8,1/11/13,2/6/13,2/12/13,7,18.4,87.3,2/21/13,2/22/13,3,2/22/13
MABG,41,535,1/7/13,9,1/11/13,2/6/13,2/12/13,6,18.8,53.5,2/17/13,2/20/13,4,2/20/13
MABG,41,411,1/7/13,10,1/11/13,2/6/13,2/12/13,6,18.4,41.1,2/17/13,2/18/13,3,2/18/13
MYJO,64,323,1/7/13,1,1/11/13,3/1/13,3/1/13,17,19.9,32.3,3/12/13,3/13/13,3,3/13/13
MYJO,114,352,1/7/13,2,1/12/13,4/23/13,4/23/13,30,20.8,35.2,5/1/13,5/3/13,7,5/3/13
MYJO,143,333,1/7/13,3,1/11/13,5/20/13,5/20/13,37,15.4,33.3,5/30/13,5/31/13,3,5/31/13
MYJO,50,252,1/7/13,4,1/11/13,2/17/13,2/17/13,14,18.9,25.2,2/26/13,2/27/13,3,2/27/13
MYJO,53,251,1/7/13,5,1/11/13,2/17/13,2/17/13,13,19.2,25.1,3/1/13,3/4/13,6,3/4/13
MYJO,129,543,1/7/13,6,1/12/13,5/7/13,5/7/13,43,27.7,54.3,5/16/13,5/17/13,3,5/17/13
MYJO,64,504,1/7/13,7,1/11/13,3/4/13,3/4/13,27,24.8,50.4,3/12/13,3/13/13,3,3/13/13
MYJO,64,352,1/7/13,8,1/11/13,3/1/13,3/1/13,19,20.2,35.2,3/12/13,3/15/13,5,3/15/13
MYJO,77,260,1/7/13,9,1/11/13,3/13/13,3/13/13,23,18.6,26,3/25/13,3/27/13,5,3/27/13
MYJO,127,290,1/7/13,10,1/11/13,5/7/13,5/7/13,31,24.8,29,5/14/13,5/17/13,5,5/17/13
NELO,176,416,1/7/13,1,1/11/13,6/24/13,6/24/13,45,15.6,41.6,7/2/13,7/8/13,3,4/26/13
NELO,170,267,1/7/13,2,1/11/13,6/11/13,6/11/13,45,13.3,26.7,6/26/13,6/28/13,3,4/26/13
NELO,136,172,1/7/13,3,1/11/13,5/17/13,5/17/13,44,13.5,17.2,5/23/13,5/24/13,3,4/26/13
NELO,134,413,1/7/13,4,1/11/13,5/7/13,5/7/13,39,14.9,41.3,5/21/13,5/22/13,3,4/26/13
NELO,146,305,1/7/13,5,1/11/13,5/17/13,5/17/13,44,14.3,30.5,6/2/13,6/3/13,3,4/26/13
NELO,162,360,1/7/13,6,1/11/13,6/7/13,6/7/13,43,13.9,36,6/18/13,6/19/13,3,4/26/13
NELO,.,.,1/7/13,7,1/11/13,never bolted - tossed 12/2/13,,,,,,,,4/26/13
NELO,.,.,1/7/13,8,1/11/13,never bolted - tossed 12/2/13,,,,,,,,4/26/13
NELO,.,.,1/7/13,9,1/11/13,never bolted - tossed 12/2/13,,,,,,,,4/26/13
NELO,202,402,1/7/13,10,1/11/13,7/8/13,7/8/13,46,18.1,40.2,7/28/13,7/29/13,3,4/26/13
OIBG,96,438,1/7/13,1,1/11/13,4/1/13,4/1/13,26,16.2,43.8,4/13/13,4/15/13,3,4/15/13
OIBG,69,283,1/7/13,2,1/11/13,3/6/13,3/6/13,23,17.2,28.3,3/17/13,3/18/13,3,3/18/13
OIBG,64,234,1/7/13,3,1/11/13,3/4/13,3/4/13,15,17.3,23.4,3/12/13,3/13/13,3,3/13/13
OIBG,54,558,1/7/13,4,1/11/13,2/19/13,2/19/13,15,24.1,55.8,3/2/13,3/4/13,4,3/4/13
OIBG,90,355,1/7/13,5,1/11/13,4/1/13,4/1/13,23,16.5,35.5,4/7/13,4/8/13,3,4/8/13
OIBG,80,339,1/7/13,6,1/11/13,3/15/13,3/15/13,27,16.9,33.9,3/28/13,3/29/13,4,3/29/13
OIBG,66,430,1/7/13,7,1/11/13,3/4/13,3/4/13,21,21.2,43,3/14/13,3/15/13,3,3/15/13
OIBG,63,378,1/7/13,8,1/11/13,2/26/13,2/26/13,16,17.6,37.8,3/11/13,3/13/13,4,3/13/13
OIBG,51,255,1/7/13,9,1/11/13,2/19/13,2/19/13,13,28.8,25.5,2/27/13,3/1/13,3,3/1/13
OIBG,71,424,1/7/13,10,1/11/13,3/11/13,3/11/13,25,18.6,42.4,3/19/13,3/20/13,3,3/20/13
RABG,54,790,1/7/13,1,1/11/13,2/17/13,2/17/13,11,21.2,79,3/2/13,3/4/13,4,3/4/13
RABG,45,629,1/7/13,2,1/11/13,2/10/13,2/12/13,7,22.5,62.9,2/21/13,2/22/13,3,2/22/13
RABG,40,549,1/7/13,3,1/12/13,2/6/13,2/12/13,7,25,54.9,2/16/13,2/17/13,3,2/18/13
RABG,58,757,1/7/13,4,1/11/13,2/25/13,2/25/13,14,30.1,75.7,3/6/13,3/8/13,7,3/8/13
RABG,50,704,1/7/13,5,1/11/13,2/10/13,2/12/13,8,22.2,70.4,2/26/13,2/27/13,4,2/27/13
RABG,63,198,1/7/13,6,1/11/13,2/10/13,2/12/13,10,17,19.8,3/11/13,3/13/13,3,3/13/13
RABG,46,684,1/7/13,7,1/13/13,2/10/13,2/12/13,9,15.5,68.4,2/22/13,2/25/13,5,2/25/13
RABG,46,585,1/7/13,8,1/11/13,2/10/13,2/12/13,9,18.4,58.5,2/22/13,2/25/13,9,2/25/13
RABG,59,735,1/7/13,9,1/11/13,2/25/13,2/25/13,12,23.2,73.5,3/7/13,3/8/13,3,3/8/13
RABG,49,494,1/7/13,10,1/14/13,2/13/13,2/15/13,9,21.2,49.4,2/25/13,2/26/13,3,2/26/13
RACA,49,729,1/7/13,1,1/13/13,2/10/13,2/12/13,10,14.1,72.9,2/25/13,2/26/13,3,2/26/13
RACA,46,593,1/7/13,2,1/13/13,2/10/13,2/12/13,8,14,59.3,2/22/13,2/25/13,8,2/25/13
RACA,60,428,1/7/13,3,1/13/13,2/26/13,2/26/13,16,14.4,42.8,3/8/13,3/11/13,6,3/11/13
RACA,53,624,1/7/13,4,1/13/13,2/17/13,2/17/13,12,21.6,62.4,3/1/13,3/4/13,8,3/4/13
RACA,40,548,1/7/13,5,1/13/13,2/4/13,2/12/13,7,15.5,54.8,2/16/13,2/17/13,3,2/18/13
RACA,51,832,1/7/13,6,1/12/13,2/17/13,2/17/13,13,22.1,83.2,2/27/13,3/1/13,3,3/1/13
RACA,57,865,1/7/13,7,1/11/13,2/17/13,2/17/13,11,23.2,86.5,3/5/13,3/6/13,3,3/6/13
RACA,38,530,1/7/13,8,1/14/13,2/4/13,2/15/13,6,20.1,53,2/14/13,2/15/13,3,2/18/13
RACA,38,610,1/7/13,9,1/12/13,2/4/13,2/15/13,7,17.5,61,2/14/13,2/15/13,3,2/18/13
RACA,48,616,1/7/13,10,1/11/13,2/12/13,2/12/13,9,12.5,61.6,2/24/13,2/25/13,3,2/25/13
SPEU,79,736,1/7/13,1,1/10/13,3/15/13,3/15/13,14,28.8,73.6,3/27/13,3/29/13,3,3/29/13
SPEU,100,762,1/7/13,2,1/10/13,4/1/13,4/1/13,17,26,76.2,4/17/13,4/19/13,3,4/22/13
SPEU,39,738,1/7/13,3,1/11/13,2/5/13,2/12/13,6,21.6,73.8,2/15/13,2/17/13,3,2/18/13
SPEU,62,873,1/7/13,4,1/11/13,2/26/13,2/26/13,11,30.2,87.3,3/10/13,3/11/13,3,3/11/13
SPEU,45,852,1/7/13,5,1/10/13,2/8/13,2/12/13,7,19.3,85.2,2/21/13,2/22/13,4,2/22/13
SPEU,64,876,1/7/13,6,1/11/13,2/25/13,2/25/13,10,28.1,87.6,3/12/13,3/13/13,4,3/13/13
SPEU,71,715,1/7/13,7,1/11/13,3/4/13,3/4/13,11,30.3,71.5,3/19/13,3/20/13,3,3/20/13
SPEU,82,916,1/7/13,8,1/11/13,3/15/13,3/15/13,15,35.5,91.6,3/30/13,4/1/13,3,4/1/13
SPEU,106,960,1/7/13,9,1/11/13,4/5/13,4/5/13,16,30.7,96,4/23/13,4/24/13,3,4/26/13
