Population,FlwrT,1stFlwrHt_mm,Planted,Pot,Germ,crownTop,crownSide,flwrTime,NumLeaves,CrownHt,1stFlwrHt_cm,1stFlwrDate,FlwrPicDate,FlwrPos,Tissue coll
GHIL,56,274,11/4/13,1,11/8/13,12/20/13,12/20/13,52,11,19.4,27.4,12/30/13,12/31/13,3,1/3/14
GHIL,49,170,11/4/13,2,11/11/13,12/13/13,12/13/13,42,11,17.2,17,12/23/13,12/24/13,3,12/31/13
GHIL,54,484,11/4/13,3,11/11/13,12/18/13,12/18/13,47,11,22.4,48.4,12/28/13,12/30/13,3,12/31/13
GHIL,53,340,11/4/13,4,11/11/13,12/16/13,12/16/13,46,10,15.9,34,12/27/13,12/30/13,5,12/31/13
GHIL,58,418,11/4/13,5,11/11/13,12/23/13,12/23/13,51,17,13.9,41.8,1/1/14,1/3/14,3,1/3/14
GHIL,48,205,11/4/13,6,11/11/13,12/11/13,12/11/13,41,9,13.1,20.5,12/22/13,12/23/13,3,12/23/13
GHIL,59,512,11/4/13,7,11/11/13,12/20/13,12/20/13,52,14,24.6,51.2,1/2/14,1/3/14,3,1/3/14
GHIL,49,219,11/4/13,8,11/11/13,12/13/13,12/13/13,42,10,19.8,21.9,12/23/13,12/24/13,3,12/31/13
GHIL,49,172,11/4/13,9,11/11/13,12/16/13,12/16/13,42,10,16.9,17.2,12/23/13,12/24/13,3,12/31/13
GHIL,59,291,11/4/13,10,11/11/13,12/23/13,12/23/13,52,12,17.3,29.1,1/2/14,1/3/14,3,1/3/14
GHIL,49,291,11/4/13,11,11/11/13,12/11/13,12/11/13,42,9,14.9,29.1,12/23/13,12/27/13,5,12/31/13
GHIL,42,182,11/4/13,12,11/11/13,12/9/13,12/9/13,35,10,14.2,18.2,12/16/13,12/18/13,3,12/23/13
GHIL,43,192,11/4/13,13,11/11/13,12/9/13,12/9/13,36,9,11.6,19.2,12/17/13,12/18/13,3,12/23/13
GHIL,58,391,11/4/13,14,11/13/13,12/23/13,12/23/13,49,16,20.4,39.1,1/1/14,1/3/14,3,1/3/14
GHIL,41,201,11/4/13,15,11/11/13,12/6/13,12/6/13,34,8,12.3,20.1,12/15/13,12/16/13,3,12/18/13
GHIL,68,471,11/4/13,16,11/11/13,12/30/13,12/30/13,61,15,25.4,47.1,1/11/14,1/13/14,3,1/14/14
GHIL,56,264,11/4/13,17,11/11/13,12/20/13,12/20/13,49,12,25.9,26.4,12/30/13,12/31/13,3,1/3/14
GHIL,46,252,11/4/13,18,11/11/13,12/9/13,12/9/13,39,10,8.8,25.2,12/20/13,12/23/13,6,12/23/13
GHIL,58,381,11/4/13,19,11/11/13,12/20/13,12/20/13,51,13,16.8,38.1,1/1/14,1/3/14,5,1/3/14
GHIL,63,534,11/4/13,20,11/11/13,12/30/13,12/30/13,56,15,24.1,53.4,1/6/14,1/8/14,3,1/8/14
GHIL,57,405,11/4/13,21,11/11/13,12/20/13,12/20/13,50,15,26.2,40.5,12/31/13,1/3/14,8,1/3/14
