original_order,population,,OrigCode,family,sibling,seed_wt,DaysToGerm,DaysGermToFlwr,firstFlwrHt_mm,num_ovules,Lifespan,Total_Seeds,Total_Fruit,Seed_per_Fruit,Planting_Date,Germination_Date,First_FlowerDate,Mortality_Date,OvuleFlower_num,OvuleDate
622,AUFI,,FA,50,a,4.2,9,,,,6,0,0,0,6/14/05,6/23/05,,6/29/05,,
491,AUFI,,FA,1,c,3.9,7,,,,8,0,0,0,6/14/05,6/21/05,,6/29/05,,
519,AUFI,,FA,13,a,6.3,23,,,,8,0,0,0,6/14/05,7/7/05,,7/15/05,,
492,AUFI,,FA,1,d,4.3,7,,,,10,0,0,0,6/14/05,6/21/05,,7/1/05,,
509,AUFI,,FA,8,a,4.4,7,,,,10,0,0,0,6/14/05,6/21/05,,7/1/05,,
540,AUFI,,FA,22,a,4.7,5,,,,10,0,0,0,6/14/05,6/19/05,,6/29/05,,
552,AUFI,,FA,29,c,4.5,5,,,,10,0,0,0,6/14/05,6/19/05,,6/29/05,,
605,AUFI,,FA,44,c,3.4,5,,,,10,0,0,0,6/14/05,6/19/05,,6/29/05,,
568,AUFI,,FA,34,b,5.3,7,,,,16,0,0,0,6/14/05,6/21/05,,7/7/05,,
598,AUFI,,FA,42,d,1.8,5,,,,16,0,0,0,6/14/05,6/19/05,,7/5/05,,
514,AUFI,,FA,10,b,3.8,7,,,,23,0,0,0,6/14/05,6/21/05,,7/14/05,,
580,AUFI,,FA,37,b,4.2,5,,,,30,0,0,0,6/14/05,6/19/05,,7/19/05,,
541,AUFI,,FA,22,b,3.9,8,30,65,8,49,0,0,0,6/14/05,6/22/05,7/22/05,8/10/05,x3,7/27/05
556,AUFI,,FA,30,c,4.9,7,26,102,6,49,0,0,0,6/14/05,6/21/05,7/17/05,8/9/05,6,7/17/05
581,AUFI,,FA,37,c,3.5,7,,,,56,0,0,0,6/14/05,6/21/05,,8/16/05,,
569,AUFI,,FA,34,c,7.3,8,21,84,11,62,217,62,3.5,6/14/05,6/22/05,7/13/05,8/23/05,4,7/14/05
579,AUFI,,FA,37,a,5.6,8,23,100,9,62,183,82,2.23,6/14/05,6/22/05,7/15/05,8/23/05,13,7/17/05
498,AUFI,,FA,5,b,5.7,7,29,45,9,63,0,0,0,6/14/05,6/21/05,7/20/05,8/23/05,x4,7/20/05
546,AUFI,,FA,24,b,6.2,7,24,40,6,63,121,43,2.81,6/14/05,6/21/05,7/15/05,8/23/05,6,7/20/05
506,AUFI,,FA,7,b,5.4,5,26,31,6,65,9,3,3,6/14/05,6/19/05,7/15/05,8/23/05,12,7/17/05
543,AUFI,,FA,22,d,4.3,5,29,25,7,65,2,1,2,6/14/05,6/19/05,7/18/05,8/23/05,10,7/18/05
554,AUFI,,FA,30,a,7.9,5,22,30,9,65,32,17,1.88,6/14/05,6/19/05,7/11/05,8/23/05,14,7/14/05
558,AUFI,,FA,31,a,3.8,5,26,81,4,65,17,7,2.43,6/14/05,6/19/05,7/15/05,8/23/05,x3,7/17/05
561,AUFI,,FA,32,c,5.5,5,23,95,6,65,195,86,2.27,6/14/05,6/19/05,7/12/05,8/23/05,16,7/17/05
566,AUFI,,FA,33,d,3.4,5,25,15,7,65,37,14,2.64,6/14/05,6/19/05,7/14/05,8/23/05,8,7/18/05
618,AUFI,,FA,49,a,5.6,3,26,68,6,67,55,19,2.89,6/14/05,6/17/05,7/13/05,8/23/05,8,7/15/05
508,AUFI,,FA,7,d,6.2,8,,,,70,66,26,2.54,6/14/05,6/22/05,7/13/05,8/31/05,4,7/14/05
489,AUFI,,FA,1,a,4.5,7,22,75,8,71,161,49,3.29,6/14/05,6/21/05,7/13/05,8/31/05,14,7/18/05
585,AUFI,,FA,38,c,4.9,7,23,65,8,71,167,76,2.2,6/14/05,6/21/05,7/14/05,8/31/05,x4,7/17/05
591,AUFI,,FA,40,a,4.2,7,25,90,7,71,113,25,4.52,6/14/05,6/21/05,7/16/05,8/31/05,5,7/18/05
500,AUFI,,FA,5,d,6,5,25,150,8,73,94,30,3.13,6/14/05,6/19/05,7/14/05,8/31/05,10,7/18/05
501,AUFI,,FA,6,a,3.2,5,32,100,6,73,35,11,3.18,6/14/05,6/19/05,7/21/05,8/31/05,x6,7/22/05
510,AUFI,,FA,8,b,4.5,5,33,35,4,73,69,21,3.29,6/14/05,6/19/05,7/22/05,8/31/05,9,7/27/05
512,AUFI,,FA,8,d,4.1,5,24,34,10,73,300,112,2.68,6/14/05,6/19/05,7/13/05,8/31/05,3,7/14/05
518,AUFI,,FA,11,b,2.1,5,32,30,6,73,24,7,3.43,6/14/05,6/19/05,7/21/05,8/31/05,3,7/21/05
528,AUFI,,FA,15,b,3.7,5,25,15,8,73,9,4,2.25,6/14/05,6/19/05,7/14/05,8/31/05,4,7/15/05
537,AUFI,,FA,20,a,2.9,5,22,53,9,73,89,23,3.87,6/14/05,6/19/05,7/11/05,8/31/05,6,7/17/05
544,AUFI,,FA,23,a,4.1,5,23,160,14,73,280,46,6.09,6/14/05,6/19/05,7/12/05,8/31/05,8,7/14/05
567,AUFI,,FA,34,a,6.5,5,30,29,8,73,244,65,3.75,6/14/05,6/19/05,7/19/05,8/31/05,6,7/19/05
584,AUFI,,FA,38,b,3.7,5,23,111,7,73,141,41,3.44,6/14/05,6/19/05,7/12/05,8/31/05,7,7/15/05
588,AUFI,,FA,39,b,5.3,5,22,161,7,73,87,32,2.72,6/14/05,6/19/05,7/11/05,8/31/05,6,7/12/05
590,AUFI,,FA,39,d,5.8,5,25,141,7,73,190,65,2.92,6/14/05,6/19/05,7/14/05,8/31/05,9,7/14/05
601,AUFI,,FA,43,c,4,5,26,25,6,73,9,6,1.5,6/14/05,6/19/05,7/15/05,8/31/05,4,7/15/05
616,AUFI,,FA,47,c,4.5,5,30,50,7,73,0,0,0,6/14/05,6/19/05,7/19/05,8/31/05,3,7/19/05
499,AUFI,,FA,5,c,6.3,5,23,240,11,82,327,99,3.3,6/14/05,6/19/05,7/12/05,9/9/05,7,7/14/05
515,AUFI,,FA,10,c,6.5,5,26,40,4,82,72,25,2.88,6/14/05,6/19/05,7/15/05,9/9/05,5,7/17/05
535,AUFI,,FA,19,a,5.6,5,22,33,7,82,113,50,2.26,6/14/05,6/19/05,7/11/05,9/9/05,x5,7/14/05
553,AUFI,,FA,29,d,5.3,5,22,25,6,82,54,24,2.25,6/14/05,6/19/05,7/11/05,9/9/05,x7,7/14/05
563,AUFI,,FA,33,a,4.2,5,23,75,6,82,114,37,3.08,6/14/05,6/19/05,7/12/05,9/9/05,7,7/15/05
565,AUFI,,FA,33,c,4.6,5,24,37,6,82,360,99,3.64,6/14/05,6/19/05,7/13/05,9/9/05,12,7/17/05
582,AUFI,,FA,37,d,5.4,5,24,83,6,85,70,24,2.92,6/14/05,6/19/05,7/13/05,9/12/05,x8,7/18/05
607,AUFI,,FA,45,a,6.9,5,24,86,8,85,299,73,4.1,6/14/05,6/19/05,7/13/05,9/12/05,3,7/14/05
621,AUFI,,FA,49,d,5.3,5,26,63,0,85,265,75,3.53,6/14/05,6/19/05,7/15/05,9/12/05,3,7/18/05
521,AUFI,,FA,13,c,5.7,8,22,16,5,91,104,48,2.17,6/14/05,6/22/05,7/14/05,9/21/05,6,7/18/05
559,AUFI,,FA,32,a,5,7,22,37,7,92,216,75,2.88,6/14/05,6/21/05,7/13/05,9/21/05,10,7/17/05
571,AUFI,,FA,35,a,6.5,7,22,93,8,92,121,53,2.28,6/14/05,6/21/05,7/13/05,9/21/05,3,7/14/05
490,AUFI,,FA,1,b,3.7,5,24,34,7,94,178,49,3.63,6/14/05,6/19/05,7/13/05,9/21/05,3,7/22/05
545,AUFI,,FA,24,a,6,5,30,73,8,94,301,79,3.81,6/14/05,6/19/05,7/19/05,9/21/05,x6,7/22/05
560,AUFI,,FA,32,b,6.2,5,24,163,10,94,767,280,2.74,6/14/05,6/19/05,7/13/05,9/21/05,6,7/14/05
586,AUFI,,FA,38,d,3.3,5,24,32,8,94,100,31,3.23,6/14/05,6/19/05,7/13/05,9/21/05,13,7/17/05
619,AUFI,,FA,49,b,4.9,5,22,46,?,94,205,75,2.73,6/14/05,6/19/05,7/11/05,9/21/05,10,7/14/05
497,AUFI,,FA,5,a,6.1,7,24,60,9,99,245,50,4.9,6/14/05,6/21/05,7/15/05,9/28/05,x3,7/20/05
507,AUFI,,FA,7,c,5.2,5,26,14,7,101,444,78,5.69,6/14/05,6/19/05,7/15/05,9/28/05,5,7/17/05
511,AUFI,,FA,8,c,4.6,5,23,137,13,101,692,234,2.96,6/14/05,6/19/05,7/12/05,9/28/05,5,7/12/05
529,AUFI,,FA,15,c,3.1,3,25,131,8,103,136,41,3.32,6/14/05,6/17/05,7/12/05,9/28/05,7,7/15/05
608,AUFI,,FA,45,b,7.4,5,23,48,1,110,144,38,3.79,6/14/05,6/19/05,7/12/05,10/7/05,9,7/18/05
620,AUFI,,FA,49,c,4.9,5,22,34,9,110,212,67,3.16,6/14/05,6/19/05,7/11/05,10/7/05,4,7/18/05
536,AUFI,,FA,19,b,5.3,5,34,70,8,135,125,39,3.21,6/14/05,6/19/05,7/23/05,11/1/05,5,7/27/05
602,AUFI,,FA,43,d,3.2,5,22,35,11,135,77,20,3.85,6/14/05,6/19/05,7/11/05,11/1/05,x5,7/14/05
531,AUFI,,FA,17,a,5.4,7,20,105,7,162,274,119,2.3,6/14/05,6/21/05,7/11/05,11/30/05,4,7/12/05
542,AUFI,,FA,22,c,4.7,7,22,32,10,162,158,51,3.1,6/14/05,6/21/05,7/13/05,11/30/05,4,7/18/05
548,AUFI,,FA,24,d,7.8,7,25,155,8,162,401,159,2.52,6/14/05,6/21/05,7/16/05,11/30/05,5,7/19/05
562,AUFI,,FA,32,d,6.3,7,21,43,8,162,405,161,2.52,6/14/05,6/21/05,7/12/05,11/30/05,7,7/14/05
587,AUFI,,FA,39,a,6.3,7,23,75,8,162,194,63,3.08,6/14/05,6/21/05,7/14/05,11/30/05,7,7/14/05
592,AUFI,,FA,40,b,4.6,7,22,227,4,162,547,161,3.4,6/14/05,6/21/05,7/13/05,11/30/05,3,7/14/05
612,AUFI,,FA,46,c,3.8,7,27,55,9,162,111,42,2.64,6/14/05,6/21/05,7/18/05,11/30/05,x3,7/21/05
505,AUFI,,FA,7,a,4.8,5,24,44,9,164,244,60,4.07,6/14/05,6/19/05,7/13/05,11/30/05,9,7/20/05
513,AUFI,,FA,10,a,5.7,5,24,62,4,164,269,83,3.24,6/14/05,6/19/05,7/13/05,11/30/05,11,7/18/05
516,AUFI,,FA,10,d,5.9,5,22,23,5,164,360,88,4.09,6/14/05,6/19/05,7/11/05,11/30/05,15,7/18/05
522,AUFI,,FA,13,d,5.3,5,24,33,6,164,98,43,2.28,6/14/05,6/19/05,7/13/05,11/30/05,7,7/18/05
527,AUFI,,FA,15,a,3.4,5,27,60,10,164,175,43,4.07,6/14/05,6/19/05,7/16/05,11/30/05,4,7/21/05
530,AUFI,,FA,15,d,3.7,5,25,30,9,164,196,44,4.45,6/14/05,6/19/05,7/14/05,11/30/05,x4,7/21/05
564,AUFI,,FA,33,b,4.5,5,27,55,6,164,189,72,2.63,6/14/05,6/19/05,7/16/05,11/30/05,5,7/18/05
570,AUFI,,FA,34,d,7.3,5,29,195,10,164,1024,312,3.28,6/14/05,6/19/05,7/18/05,11/30/05,3,7/19/05
600,AUFI,,FA,43,b,3.5,5,25,30,10,164,408,142,2.87,6/14/05,6/19/05,7/14/05,11/30/05,7,7/19/05
611,AUFI,,FA,46,b,3.7,5,24,29,5,164,69,34,2.03,6/14/05,6/19/05,7/13/05,11/30/05,6,7/18/05
624,AUFI,,FA,50,c,4.7,5,24,29,9,164,204,54,3.78,6/14/05,6/19/05,7/13/05,11/30/05,8,7/19/05
583,AUFI,,FA,38,a,4.3,,,157,8,,10,4,2.5,6/14/05,,7/26/05,9/21/05,3,7/27/05
369,COAU,,AB,8,d,1.9,7,,,,8,0,0,0,6/14/05,6/21/05,,6/29/05,,
401,COAU,,AB,20,d,4.2,7,,,,8,0,0,0,6/14/05,6/21/05,,6/29/05,,
419,COAU,,AB,26,a,2.4,7,,,,8,0,0,0,6/14/05,6/21/05,,6/29/05,,
363,COAU,,AB,7,a,4.3,5,,,,10,0,0,0,6/14/05,6/19/05,,6/29/05,,
428,COAU,,AB,28,b,3,5,,,,10,0,0,0,6/14/05,6/19/05,,6/29/05,,
431,COAU,,AB,29,a,3.3,5,,,,10,0,0,0,6/14/05,6/19/05,,6/29/05,,
468,COAU,,AB,39,b,1.4,5,,,,10,0,0,0,6/14/05,6/19/05,,6/29/05,,
384,COAU,,AB,14,c,2.6,5,,,,12,0,0,0,6/14/05,6/19/05,,7/1/05,,
440,COAU,,AB,32,b,2.9,5,,,,18,0,0,0,6/14/05,6/19/05,,7/7/05,,
383,COAU,,AB,14,b,2.6,5,,,,22,0,0,0,6/14/05,6/19/05,,7/11/05,,
360,COAU,,AB,4,b,2.8,5,,,,25,0,0,0,6/14/05,6/19/05,,7/14/05,,
396,COAU,,AB,19,b,3.7,7,,,,42,40,11,3.64,6/14/05,6/21/05,,8/2/05,,
417,COAU,,AB,25,c,3.6,7,43,160,8,50,0,0,0,6/14/05,6/21/05,8/3/05,8/10/05,4,8/3/05
375,COAU,,AB,12,b,5.7,5,,,,51,0,0,0,6/14/05,6/19/05,,8/9/05,,
389,COAU,,AB,15,d,3.3,5,49,106,,52,0,0,0,6/14/05,6/19/05,8/7/05,8/10/05,,
390,COAU,,AB,16,a,4.6,5,,,,52,0,0,0,6/14/05,6/19/05,,8/10/05,,
415,COAU,,AB,25,a,3.9,7,35,55,,56,7,2,3.5,6/14/05,6/21/05,7/26/05,8/16/05,,
436,COAU,,AB,31,a,3,7,31,65,9,63,23,7,3.29,6/14/05,6/21/05,7/22/05,8/23/05,4,7/22/05
355,COAU,,AB,1,d,3,5,24,36,9,65,112,33,3.39,6/14/05,6/19/05,7/13/05,8/23/05,4,7/14/05
393,COAU,,AB,18,c,2,5,26,35,10,65,21,4,5.25,6/14/05,6/19/05,7/15/05,8/23/05,x3,7/20/05
420,COAU,,AB,26,b,,5,28,100,5,65,0,0,0,6/14/05,6/19/05,7/17/05,8/23/05,3,7/19/05
421,COAU,,AB,26,c,2.6,5,,,,65,0,0,0,6/14/05,6/19/05,,8/23/05,,
430,COAU,,AB,28,d,3.3,5,26,30,8,65,9,4,2.25,6/14/05,6/19/05,7/15/05,8/23/05,3,7/15/05
455,COAU,,AB,36,a,3.7,5,52,451,,65,0,0,0,6/14/05,6/19/05,8/10/05,8/23/05,,
441,COAU,,AB,32,c,4.2,5,23,39,8,71,10,2,5,6/14/05,6/19/05,7/12/05,8/29/05,5,7/15/05
410,COAU,,AB,23,a,4.3,5,43,170,5,73,8,2,4,6/14/05,6/19/05,8/1/05,8/31/05,4,8/3/05
429,COAU,,AB,28,c,3.3,5,25,45,8,73,302,80,3.78,6/14/05,6/19/05,7/14/05,8/31/05,8,7/18/05
454,COAU,,AB,35,d,2.7,5,22,77,10,73,116,33,3.52,6/14/05,6/19/05,7/11/05,8/31/05,11,7/18/05
