Pop,Plant,planted,germDate,rosettePhoto,1stflwr,blossomPhoto,tissueColl,2ndRosettePhoto,DaysToFlwr,NumVernaliz,DaysVernal
CBES,1,6/17/10,6/22/10,7/13/10,8/9/10,8/9/10,8/11/10,bolted,53,0,0
CBES,3,6/17/10,6/28/10,7/19/10,4/8/11,4/8/11,8/24/10,8/16/10,295,1,99
CBES,5,6/17/10,6/24/10,died,,,,,.,0,0
CBES,7,6/17/10,6/22/10,7/13/10,1/24/11,1/21/11,8/11/10,8/11/10,221,1,99
CBES,9,6/17/10,6/23/10,7/14/10,2/1/11,1/31/11,8/11/10,8/11/10,229,1,99
CBES,11,6/17/10,6/22/10,7/13/10,7/27/10,7/28/10,8/11/10,bolted,40,0,0
CBES,12,6/17/10,6/23/10,7/14/10,2/14/11,2/14/11,8/11/10,8/11/10,242,1,99
CBES,13,6/17/10,6/22/10,7/13/10,2/18/11,2/18/11,8/11/10,8/11/10,246,1,99
CBES,14,6/17/10,6/23/10,7/14/10,1/24/11,1/24/11,8/11/10,8/11/10,221,1,99
CBES,16,6/17/10,6/28/10,7/19/10,2/8/11,2/9/11,8/24/10,8/16/10,236,1,99
CBES,17,6/17/10,6/22/10,7/13/10,1/24/11,1/21/11,8/11/10,8/11/10,221,1,99
GMIL,4,6/17/10,7/5/10,7/27/10,9/1/10,9/1/10,8/24/10,8/23/10,76,0,0
GMIL,5,6/17/10,7/5/10,7/27/10,8/20/10,8/24/10,9/1/10,bolted,64,0,0
GMIL,6,6/17/10,6/23/10,7/14/10,died,,,,.,0,0
GMIL,7,6/17/10,7/1/10,7/22/10,8/6/10,8/6/10,8/11/10,bolted,50,0,0
GMIL,8,6/17/10,6/29/10,7/20/10,9/1/10,9/1/10,8/24/10,8/18/10,76,0,0
GMIL,13,6/17/10,6/24/10,7/14/10,8/9/10,8/11/10,8/11/10,bolted,53,0,0
GMIL,14,6/17/10,6/24/10,7/14/10,9/1/10,9/1/10,8/24/10,8/12/10,76,0,0
GMIL,20,6/17/10,7/5/10,7/27/10,9/7/10,9/7/10,8/24/10,8/23/10,82,0,0
GMIL,23,6/17/10,7/28/10,8/18/10,9/27/10,9/27/10,9/17/10,9/7/10,102,0,0
GMIL,24,6/17/10,6/25/10,7/16/10,8/18/10,8/23/10,8/24/10,8/18/10,62,0,0
GMIL,27,6/17/10,6/28/10,7/19/10,8/24/10,8/24/10,8/24/10,8/16/10,68,0,0
GMIL,28,6/17/10,6/29/10,7/20/10,8/23/10,9/1/10,8/24/10,8/17/10,67,0,0
GMIL,31,6/17/10,6/28/10,7/19/10,8/24/10,8/27/10,8/24/10,8/16/10,68,0,0
GMIL,33,6/17/10,6/22/10,7/13/10,8/6/10,8/6/10,8/11/10,bolted,50,0,0
NZIL,3,6/17/10,6/23/10,7/14/10,10/12/10,10/12/10,8/11/10,8/11/10,117,0,0
NZIL,4,6/17/10,6/23/10,7/14/10,8/23/10,8/24/10,8/11/10,8/11/10,67,0,0
NZIL,5,6/17/10,7/19/10,8/9/10,10/22/10,10/22/10,9/17/10,9/7/10,127,0,0
NZIL,6,6/17/10,7/2/10,7/27/10,10/15/10,10/15/10,8/24/10,8/22/10,120,0,0
NZIL,7,6/17/10,7/12/10,8/6/10,9/1/10,9/1/10,9/1/10,bolted,76,0,0
NZIL,8,6/17/10,7/6/10,no growth,,,,,.,0,0
NZIL,9,6/17/10,7/22/10,8/12/10,10/15/10,10/15/10,9/17/10,9/7/10,120,0,0
NZIL,14,6/17/10,6/24/10,7/15/10,9/7/10,9/7/10,8/24/10,8/12/10,82,0,0
NZIL,16,6/17/10,6/23/10,7/14/10,8/18/10,8/23/10,8/11/10,8/11/10,62,0,0
NZIL,18,6/17/10,6/23/10,7/14/10,10/4/10,10/4/10,8/11/10,8/11/10,109,0,0
NZIL,21,6/17/10,7/2/10,7/27/10,9/27/10,9/27/10,8/24/10,8/20/10,102,0,0
NZIL,22,6/17/10,6/23/10,7/14/10,7/30/10,8/9/10,8/11/10,bolted,43,0,0
NZIL,23,6/17/10,7/1/10,7/22/10,9/27/10,9/27/10,8/24/10,8/20/10,102,0,0
NZIL,24,6/17/10,6/23/10,7/14/10,8/6/10,8/6/10,8/11/10,bolted,50,0,0
NZIL,27,6/17/10,7/1/10,7/22/10,9/15/10,9/15/10,9/1/10,9/1/10,90,0,0
NZIL,29,6/17/10,6/23/10,7/14/10,10/4/10,10/4/10,8/11/10,8/11/10,109,0,0
NZIL,30,6/17/10,6/23/10,7/14/10,9/27/10,9/27/10,8/11/10,8/11/10,102,0,0
NZIL,32,6/17/10,6/23/10,7/14/10,9/15/10,9/15/10,8/11/10,8/11/10,90,0,0
NZIL,34,6/17/10,6/28/10,7/19/10,8/23/10,8/25/10,8/24/10,8/16/10,67,0,0
NZIL,36,6/17/10,6/23/10,7/14/10,8/23/10,8/24/10,8/11/10,8/11/10,67,0,0
NZIL,10b,7/8/10,7/12/10,8/6/10,10/4/10,10/4/10,9/1/10,9/1/10,88,0,0
NZIL,11b,7/8/10,7/19/10,8/9/10,10/27/10,10/27/10,9/17/10,9/7/10,111,0,0
NZIL,12b,7/8/10,7/13/10,8/6/10,10/12/10,10/12/10,9/1/10,9/1/10,96,0,0
NZIL,13b,7/8/10,7/13/10,8/6/10,9/21/10,9/21/10,9/1/10,9/1/10,75,0,0
NZIL,15b,7/8/10,7/21/10,8/12/10,,,9/17/10,9/7/10,.,0,0
NZIL,19b,7/8/10,7/19/10,8/11/10,10/4/10,10/4/10,9/17/10,9/7/10,88,0,0
NZIL,20b,7/8/10,7/21/10,8/11/10,10/12/10,10/12/10,9/17/10,9/7/10,96,0,0
NZIL,35b,7/8/10,7/13/10,8/6/10,10/22/10,10/22/10,9/1/10,9/1/10,106,0,0
REIL,4,6/17/10,6/22/10,7/13/10,8/6/10,8/6/10,8/11/10,bolted,50,0,0
REIL,5,6/17/10,6/22/10,7/13/10,8/9/10,8/11/10,8/11/10,bolted,53,0,0
REIL,6,6/17/10,6/29/10,7/20/10,8/18/10,8/23/10,8/24/10,8/17/10,62,0,0
REIL,10,6/17/10,6/22/10,7/13/10,7/20/10,7/20/10,8/11/10,bolted,33,0,0
REIL,11,6/17/10,8/27/10?,9/21/10,10/22/10,10/22/10,10/22/10,bolted,127,0,0
REIL,13,6/17/10,7/12/10,8/6/10,9/7/10,9/7/10,9/1/10,bolted,82,0,0
REIL,16,6/17/10,6/22/10,7/13/10,8/6/10,8/6/10,8/11/10,bolted,50,0,0
REIL,17,6/17/10,6/22/10,7/13/10,8/6/10,8/6/10,8/11/10,bolted,50,0,0
REIL,19,6/17/10,6/22/10,7/13/10,7/27/10,7/28/10,8/11/10,bolted,40,0,0
REIL,21,6/17/10,7/5/10,7/27/10,8/6/10,8/6/10,8/11/10,bolted,50,0,0
REIL,28,6/17/10,7/12/10,8/6/10,8/23/10,8/24/10,9/1/10,bolted,67,0,0
REIL,29,6/17/10,6/22/10,7/13/10,7/19/10,7/20/10,8/11/10,bolted,32,0,0
REIL,30,6/17/10,6/22/10,7/13/10,7/14/10,7/14/10,"9/1, 9/17",bolted,27,0,0
REIL,31,6/17/10,6/28/10,7/19/10,7/28/10,7/30/10,8/11/10,bolted,41,0,0
REIL,33,6/17/10,7/9/10,7/30/10,9/15/10,9/15/10,9/1/10,9/1/10,90,0,0
REIL,39,6/17/10,6/22/10,7/13/10,7/22/10,7/28/10,8/11/10,bolted,35,0,0
REIL,42,6/17/10,6/29/10,7/20/10,8/6/10,8/6/10,8/11/10,bolted,50,0,0
REIL,43,6/17/10,6/22/10,7/13/10,7/22/10,7/22/10,8/11/10,bolted,35,0,0
REIL,45,6/17/10,6/22/10,7/13/10,8/16/10,8/17/10,8/11/10,8/11/10,60,0,0
REIL,47,6/17/10,7/12/10,8/6/10,9/15/10,9/15/10,9/1/10,bolted,90,0,0
REIL,48,6/17/10,6/22/10,7/13/10,8/6/10,8/6/10,8/11/10,bolted,50,0,0
REIL,40b,7/8/10,7/12/10,8/6/10,8/17/10,8/18/10,8/24/10,bolted,40,0,0
TYIL,6,6/17/10,6/23/10,7/14/10,7/28/10,8/6/10,8/24/10,bolted,41,0,0
TYIL,37a,6/17/10,7/12/10,8/6/10,9/27/10,9/27/10,9/1/10,9/1/10,102,0,0
TYIL,40b,6/17/10,6/22/10,7/13/10,7/30/10,8/6/10,8/24/10,bolted,43,0,0
TYIL,41a,6/17/10,6/22/10,7/13/10,7/22/10,7/22/10,8/24/10,bolted,35,0,0
TYIL,43b,6/17/10,6/22/10,7/13/10,8/6/10,8/9/10,8/11/10,bolted,50,0,0
TYIL,43c,7/8/10,7/13/10,8/6/10,8/23/10,9/7/10,9/1/10,bolted,46,0,0
TYIL,44a,6/17/10,6/22/10,7/13/10,8/9/10,8/12/10,8/24/10,bolted,53,0,0
TYIL,46a,6/17/10,6/22/10,7/13/10,8/9/10,8/9/10,8/11/10,bolted,53,0,0
